text
"Hallo warga sipil sekalian, setelah hamir sebulan akhirnya kita buat video lagi!!"
JADI PUNDIT BOLA AJA BRO. GAK USAH BAHAS SEJARAH APALAGI POLITIK🤣🤣🤣🤣
INI NIH MANUSIA SOK. MANUSIA YANG BLOKIR IG SAMA THREADS🤣🤣🤣
ohh ini kang zen😅😂
KDMP emg sampah bangett pake dana desa loh
Bang klo lu jadi Presiden hal apa yang akan lu lakuin untuk menguatkan Nilai Tukar Rupiah  terhadap Dolar Amerika sampai 1 dolar = Rp1.000 dalam 2 periode jabatan ?
"Bang bahas konten creator wajib punya NIB bang, soalnya sangat menghawatirkan, bkan masalah pajak aja, ya pokoknya abang jga pasti rasain sebagai konten creator"
Laler ijo panen raya
"Hallo orang2 pintar saya sering lihat konten2 yg berani kritik pemerintahan. Tapi KLO di pikir2 konten2 anda dgn yang lain cuma memikirkan pendapatan anda sendiri. Saya sebagai rakyat kecil pengen orang2 pintar, ahli2,pakar2, ekonomi,hukum, politik, tatanegara, bergabung bikin gebrakan apa gitu untuk menghapus koruptor, monopoli SDA,dll.supaya rakyat Indonesia makmur.bukannya keterusan bikin konten yg cuma menambah pendapatan anda sendiri.itu sama halnya dengan anda sama dengan yang anda krititik sekarang.tolong di pahami.semoga bermanfaat rakyat sudah lelah."
Proyek siapa koperasi tsb ? OMG NO BRAIN.
Lah kok ada video yang di private Bang ?
"Sungguh gak masuk akal sama sekali apa yang mereka perbuat. Merusak tempat masa depan generasi penerus bangsa, malah mau dibuat kopdes yang agak laen emang."
Bang tripod rusak?
Rakyat membangun sekolah. Pemerintah menghancurkan sekolah
"Prabowo ingin diingat sebagai : ""Presiden Peracun(MBG) anak bangsa atau penghalang pendidikan  masa depan bangsa"" ??"
"Pokok proyek pemerintah, wis iku 100℅ lahan korupsi, coba apa yg nggak?"
Bang bahas Roy suryo dan Dokter Tifa tolong mereka di dzalimi
"Alhamdulillah bung Ferry dan keluarga semoga sehat selalu dan dalam lindungan Tuhan.. Alhamdulillah banget kami ambil langkah resign PNS, berani itu krn inspirasi dan motivasi dari bung Ferry juga.. ternyata tidak menjadi apa apa itu tidak apa apa loh guys, jangan takut dg masa depan.. ada kalimat di SK resign yg bagus.. terimakasih atas jasa jasanya selama bekerja pada pemerintah Republik Indonesia.. bagus ya bung ada kalimat negara terimakasih ke qta"
Menuju reformasi!
terima kasih bang ferry udah membahas Sekolah di NTT
"untuk gua ga cadel, tar dibacanya setelah hamil sebulan"
@rrrsssrs  jeli banget lu bang 😬
Bang saya mau nanya cara survive di kondisi negara yang makin suram gini gimana bang? Udah capek liat pemerintah kayak gini terus
​ @Adnans42  jangan tanya dia dia aja sibuk ngurusin sekolahnya 😂
"​ @Adnans42 salah lihta kali, lihat secara utuh dan tunggu 1 tahun lagi, Insya Allah Indonesi lebih hebat"
Halo bang aku si pengangguran akut yg dianggap sampah masyarakat 🤲😇🇵🇸
bang bahas pendidikan di jogja
"Halo bang, 2029 nyalonin diri jadi presiden plis 😢"
"@earthplatinum00009  plis klo ad org kaya fery jangan pernah suruh jadi presiden atau semacam ny. mikir lah klo jadi presiden harus masuk parpol , pasti byk banget segala macam kongkalingkong nya. di tempat gw aja sekelas ustad hafiz 30 juz pas menjabat jg keliatan bgt kemunduran akidah nya"
"​ @earthplatinum00009  beeee ancur Indonesia di pimpin org penggemar madilog ini, sekali2 baca lah apa itu madilog sejarahnya siapa malaka biar tau isi kepala penggemarnya 😂"
"Sehat sehat terus ya bang,terus kasih informasi biar masyarakat tau"
sipppp
"Bang lu kalau gak bahas ui 🌈 yg melegakan L98TQ dan lu gak beri respon berarti anda setuju 🙏
Itu bukan rahasia umum lagi tapi saya ingin meminta pendapat dari anda"
​ @haidirfajri6623 UU polri yang tiba tiba disahkan aja juga belum dibahas berarti bisa aja setuju bahwa polisi bisa masuk ranah tugas warga sipil non polisi dan setuju kalo kapolri masa jabatan nya ditambah
Thanks fer & TIM Semoga menjadi ladang pahala🤲🙌🌟
"bung Fer, thanks for everything. Sedikit sharing as WNI... Gw chef bisa di bilang profesional Lulusan sekolah pariwisata ternama di bandung, dari semenjak lulus 2016 work experience atsea dan inland. singkat cerita waktu at sea gw pernah singgah ke finlandia dan copenhagen denmark. 2019 gw mutusin bwt jump ship di copenhagen. stay lah di sana, work at small noodle restaurant. gak sampai setahun gw mutusin balik, karna covid di 2020, seketika hilang arah, mutusin balik Indo dan married. dua tahun luntang lantung kerja di lising akhirnya 2022 gw balik ke kapal.. 2024 kmarin gw mutusin stop kerja di kapal karna kondisi anak gw. 

Sudah hampir 2 tahun gw kerja di Indonesia, and still looking for good oportunity di dalam negri ataupun di luar negri, still can't find. and you know what bung Fer?? tabungan gw abis. gaji dollar yg gw kumpulin bertahun2 sebelumnya mau gak mau gw convert ke rupiah buat bertahan hidup. Di Juni 2026 ini tabungan gw sisa 5 jutaan aja, posisi anak berkebutuhan khusus, ngontrak, gaji umr jakarta. aset gw dah ilang semua. 

kebiasaan gaji gw $2k di tahun2 sebelumnya, bikin gw spend too much di 2 tahun terakhir. alhasil saya pasrah hidup di negri ini, almost reach my dream, travel arround the world for many years. tabungan ratusan juta di umur 20an, sekarang tingal cerita.

Usia menjelang 40an gw terpuruk, kurang perhitungannya gue di hidup yg unpredictable plus jadi kepala keluarga sebagai WNI yang pengeeeeeeen bgt kasih yang terbaik buat keluarganya sekarang harus hancur. di usia pernikahan gw yg hampir 6 tahun, we broke up. lose everything.....

Im a bit speechless tentang hidup gw, gw recap hidup gw yang selalu berusaha setiap taunnya sekarang harus off. Gw give up jadi WNI. sekolah mahal even cuman TAMAN KANAK2. dont dream to get your own house, its impossible.

entah gw yang bodoh atau memang jalan hidupnya bgini bung, i just wanna said. GW GIVE UP JADI WNI. semangat gw ilang even buat hidup...

terimakasih, sudah jadi inspirator gw beberapa taun trakhir ini. tapi gw give up"
Hampir bang
Hamil
"Selalu bergetar suaranya kalo omongin pendidikan, dan saya merasakan hal yang sama juga."
"​ @monteverdobarnsley887  ya pendidikan yg baik output pasti baik kritik pasti ada solusi, amplifier dijaga hingga tdk timbul ketakutan dan kekacauan yg lebih besar,, orang terdidik sebenarnya pasti paham ini,,, utk mas Ferry apakah demikian??? kalian nilai sendiri"
"Mantap teruslah berkarya, kita dukung..."
Hadir bg
"ORTU YG TIDAK MENYEKOLAHKAN ANAK2NYA SAJA BISA DIPIDANAKAN, LHA INI SI WOWO MASAK NGGK BISA DIPIDANAKAN???!!! SAMA2 MELANGGAR UU PENDIDIKAN LHO INI...😌🙏"
"​​ @dyahandriyani9312  sekolah yg bener ya bg biar ortunya bangga, liat komenanmu kayak orang gk lulus SD 😂🙏🏻"
"Bang, adakan penggalangan dana lg dong. Sy jg tersentuh ingin membantu sedikit utk pembangun sklh jg. Trims. 🙏"
"​ @Mr.Ai_UeO  sekolah stokisme ? 😂 sini ke rumah gua gratis ga ada sekolah sekolahan lebih objektif juga dan nakut nakutin, revolusi lah apalah padahal data yg di dapat blm tentu lengkap dan akurat,, konyol 😂"
Kata bang ferry nanti di bulan juli dan akhirnya terbukti
​ @KiChulas  iya soalnya kemungkinan dia yg provokasi 😂
"sejak proyek KDMP dimuLai..sdh bbrp sekoLah2 terutama nya SD dan TK2-pLaygrup yg dihancurkan diambiL aLih pihak TNI untuk dibangun kembali fasiLitas KDMP ini bang..MIRIS..
kenapa harus gedung2 sekoLah yg nyata2 masih dipake sama anak2..kayak sdh gak ada Lagi Lahan kosong yg bisa dipake buat bangun gedung KDMP itu.."
​​ @fahmikhadist2853  datanya? gua juga bisa cerita kampus ferry ternyata di supply oligarki penghianat bangsa dan soros 😂
yg di Ende ini bukan yg pertama kaLi bang..sebeLum2nya ada di daerah Jawa tengah..Lupa apa nama daerahny..
​ @fahmikhadist2853  lw sering lupa jgn ngasi berita bahaya
Boleh saya klipping ngga bang
"Gak akan d sebut cengeng klau bg ferry meneteskan air mata jgn d tahan bg.. 
Krn dari nada bicara ny bg ferry sedang menhn amarah, dan juga sedih"
BBM MELAMBUNG TINGGI SUSU TAK TERBELI
Lagakan terus bg sipil vs pemerintah
HALAH LU GABERANI KRITIK PRABOWO SUUU
Saya anak Ci i O bang 😊
"Andai cerminan presiden, wapres, menteri2, pejabat dinegara ini seperti elu fer. Pasti indonesia ga carut marut sprti skrg ini. Semoga next bang fery bs mengepakkan sayap lbh lebar lagi"
Bang IQ ku lebih tinggi dari Einstein...tp aku cuma bisa koar2 nyerang pemerintah gimana itu bang?? 😂😂
​ @Dino-p9h yahaha nyindir 😂
"Semangat bang, ayo trus bersuara 💪🏻💪🏻💪🏻"
Hamid
SATU Partai Politik Saja Seperti CHINA 👍👍 TIDAK berbelit-belit Menghukum MODAR PARA KORUPTOR 👈👈
SATU Partai Politik Saja Seperti CHINA 👍👍 TIDAK berbelit-belit Menghukum MODAR PARA KORUPTOR 🙄🙄🙄
Disini juga beberapa Kopdes merah putih dibangun didepan sekolahan SD. Dari jalan raya sekolah hanya kelihatan gerbangnya saja.
"heeii si paling objektif bahas lah hal yg substansial kayak praktek underinvoicing, mafia singapur, mafia di semua komoditi yg buat APBN bocor indo kaya SDM tapi miskin rugi kuadrtriliun total dirampok 20th lebuh yg sekarang di selamatkan pemerintah lwat regulasi satu pintu,,

malah bahas hal receh yg gak substansial gini,, kecewa lama sibuk gak buat konten, keluarnya konten RECEH !!!"
"Bang gw kasi tau, grup paling berbahaya di facebook yg berpengaruh besar pada relevansi seseorang termasuk lu, yang pertama nama gurpnya Film Gore Lucu Indonesia, gambar sampulnya ada tulisan biskuit gosong, itu grup isinya banyak intel muda. Yang kedua nama gurpnya oksobatdungu, mereka sebelas duabelas"
Bang bahas sistem SPMB jabar.
"T10 ga berani diskusi hukum mati koruptor apalagi U6M ga akan pernah mau bahas hukuman mati bagi koruptor, under invoicing ke singapura U6M dan T10 ga mau dukung.. Malahan program program sosial KDMP (yang awal mulanya cita cita wakil presiden pertama Republik Indonesia Bung Hatta sama U6M ditolak mentah mentah jelaslah siap U6M sekarang banyak mudorotnya... Pemilik toko modern jelas tidak suka dengan KDMP karena harga lebih murah harga barang KDMP = sama dengan TIP TOP (harga murah) you bandingkan harga barang TIP TOP dengan toko retail modern milik oligarki.. Jauh harganya... Makanya resah toko modern oligarki ngotot ingin bubarin KDMP... Toko TIP TOP mungkin terbatas modalnya makanya tidak digoyang oleh oligarki.. Tapi KDMP masif dengan harga sama dengan TIP TOP harga murah... Jauh harganya lebih murah di banding toko modern milik oligarki...( sampeyan mesti yo paham)  kalau anda pernah pergi ke sumatera Barat tak ada itu merk toko modern milik oligarki.. Yang ada malah toko modern milik warga lokal sumatera barat"
Buzzer kontol
terlalu banyak gak sih😮😅
"Masalah penangkapan Roy dong mas , itu polisi nya udh betul gak boleh nangkap, cuma mau tau bagian itu soalnya"
"Kenapa sih, kalo ada pemimpin baru seperti alergi melanjutkan program terdahulu yg memang sudah bagus? Atau mengevaluasi/me-rebranding project2 mangkrak?. Kan itu udah ngehabisin anggaran banyak, bahkan sangat banyak. Lalu muncul program baru lagi ( yg menghambur2kan uang lagi). I really wanna know pendapat kalian, karena aku kesel sangat, ngeliat hal2 yg kayak gitu."
Kenapa di apus bang Video yg baru nya.
Bang bahas PLN 😂
"Woe bg gmna kelanjutan kasus doxing lu sama si pgsb, isadian?"
Program paling tolol yang pernah ada
Panjang umur perjuangan❤
Kenapa bang video 10 menit lalu dihapus
Bro. Coba diskusi sama mentri pertanian.. gimana pandangannya. Cocok atau egak
Ngga ada urgensinya koperasi desa itu
"Proyek asal asalan, tanpa survey ini itu seperti program yg tidak punya konsep, akhirnya gagal 😂"
"STOP MBG, kalo mau lanjut berdayakan kantin, UMKM sekitar atau orang tua yg masakin

Stop Kopdes sama aja kayak Indomaret gak ada manfaatnya"
Buzzer Prabowo kontol
"faktanya tdk perlu sampai NTT:  SD 2 DS Watualang Ngawi, Jawa Timur, juga sudah jadi KDMP, meski sblm di bangun, dipaksa untuk tutup dulu SD nya, dengan berbagai alasan,. dan itupun Hampir SD 1 watualangnya yg tidak jauh dari SD 2nya yg mau di OFF kan katanya mau dibangun ruko,  tp di protes jd yg diOffkan SD 2, bbrp bulan stlhnya dibangun KDMP,"
Kenapa presiden jiwa nya gak seperti orng ini😅😊 presiden malah gak punya rasa peka 😮
Bahkan syetan terlihat lebih mulia dari mereka...
"woy ferry lu bahas juga dong mahasiswa2 yg tuntutan nya kontradiktif dan anomali2, serta mahasiswa2 yg protes soal papua tetapi mereka hanya liat dri film pesta babi, jangan cuma kebusukan pemerintah doang, lu harus fair, biar mahasiswa2 yg fomo politik gegara lu tercerahkan jugaa, banyak mhs yg cuma fomo tapi mereka gapunya data valid nya, even buat sekedar research aja mereka kagak"
"udh di notif samaa mas gibran ,bro"
"Terus mahasiswa yg bawa2 Nama almamater kabenggan , kampusnya besar terkenal dijagat dunia nyata & dunia ghaib, tp kampusnha tp tiap tahun sering demo anarkis, andap asornya nihil , urak an, dll. Itu yg gagal mendidik dosennya apa memang mahasiswanya ndablek Ndak berkualitas ya... Jadi orang tua itu lihat kayak gitu amit2 mau ngijinin anaknya daftar ke situ... Akhlaknya ndlosor... Kdmp masih masih bisa dibenahi la kalo akhlak???....sama orang tua aja bisa ngelawan😅"
Pemerintah era bowo memang bikin geleng2
"Klo dirusak trus dibangunin gedung sekolah lebih bagus mah ok bgt,, ini malah mau diganti ma kopdes gaje"
bg bahas tentang luck
copyright
"mereka tu ga mau rakyat pintar karena akan semakin kritis, akan semakin banyak melawan dan akan mengganggu agenda-agenda mereka, thats why kebodohan dan kemiskinan dipelihara di negara yang kaya SDA ini. Terima kasih Bang untuk konten-nya."
"spill : ""kemiskinan struktural"""
"Adek"" siapa presiden nya? 😥😥"
komen dong mahasiswa yg makin lama makin tolol kalo lu bukan antek asing juga😂
🔥🔥
